verb	target	field	value
row-create	Sessions	Date	2026-09-01
row-create	Sessions	Timezone	UTC
row-create	Sessions	Status	open
row-create	Sessions	Start time	2026-09-01T09:00:00+00:00
row-create	Sessions	week_index	36
row-create	Sets	Set	Bench Press set 1, 135 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	1
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	135
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	f4fa5bb7e3d9006d
row-create	Sets	source_message_id	msg-1
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Bench Press set 1, 135 lb x 5. Set 2 at 135 lb.
row-create	Sets	Set	Bench Press set 2, 135 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	2
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	135
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	79f1d709a5e84ecb
row-create	Sets	source_message_id	msg-2
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Bench Press set 2, 135 lb x 5. Set 3 at 135 lb.
row-create	Sets	Set	Bench Press set 3, 135 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	3
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	135
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	3b870be8ec9a8281
row-create	Sets	source_message_id	msg-3
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Bench Press set 3, 135 lb x 5. Set 4 at 135 lb.
row-create	Sets	Set	Bench Press set 4, 135 lb x 4
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	4
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	135
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	4
row-create	Sets	attempt	0
row-create	Sets	write_key	232032e6ac68fb66
row-create	Sets	source_message_id	msg-4
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Bench Press set 4, 135 lb x 4. Set 5 at 135 lb.
row-create	Sets	Set	Bench Press set 5, 140 lb x 4
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	5
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	140
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	4
row-create	Sets	attempt	0
row-create	Sets	write_key	e971c3c34c1e5eb8
row-create	Sets	source_message_id	msg-5
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Bench Press set 5, 140 lb x 4. Set 6 at 140 lb.
row-create	Sets	Set	Bench Press set 6, 140 lb x 8
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	6
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	140
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	8
row-create	Sets	attempt	0
row-create	Sets	write_key	057cca5c9b8a978c
row-create	Sets	source_message_id	msg-6
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Bench Press set 6, 140 lb x 8. Set 7 at 140 lb.
row-create	Sets	Set	Bench Press set 7, 135 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	7
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	135
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	d0a38c8f0fe3c52a
row-create	Sets	source_message_id	msg-7
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Bench Press set 8, 135 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	8
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	135
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	e3e00dc6bab9dc27
row-create	Sets	source_message_id	msg-7
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Bench Press set 9, 135 lb x 4
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	9
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	135
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	4
row-create	Sets	attempt	0
row-create	Sets	write_key	33b9ba8cecf5b339
row-create	Sets	source_message_id	msg-7
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Bench Press set 7-9, 135 lb x 4. Set 10 at 135 lb.
row-create	Sets	Set	Bench Press set 10, 225 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	10
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	225
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	24fd283f914a4fff
row-create	Sets	source_message_id	msg-8
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Bench Press set 11, 225 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	11
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	225
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	587af38ba382aa60
row-create	Sets	source_message_id	msg-8
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Bench Press set 12, 225 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	12
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	225
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	5b29c2af403730bb
row-create	Sets	source_message_id	msg-8
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Bench Press set 10-12, 225 lb x 5. Set 13 at 225 lb.
row-create	Sets	Set	Bench Press set 13, 135 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	13
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	135
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	57667639411f5056
row-create	Sets	source_message_id	msg-9
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	Bench Press set 13, 135 lb x 5. Set 14 at 135 lb.
row-create	Sets	Set	Bench Press set 14, 135 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	14
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	135
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	918c08ff67f1719e
row-create	Sets	source_message_id	msg-10
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Bench Press set 15, 135 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	15
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	135
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	a2c2a8dcd547ea31
row-create	Sets	source_message_id	msg-10
row-create	Sets	Pain flag	none
row-create	Sets	confirm_line	
row-create	Sets	Set	Bench Press set 16, 135 lb x 5
row-create	Sets	Session	sessions-1
row-create	Sets	Exercise	Bench Press
row-create	Sets	Set index	16
row-create	Sets	Set type	working
row-create	Sets	Timestamp	2026-09-01T09:00:00+00:00
row-create	Sets	Side	both
row-create	Sets	Load	135
row-create	Sets	Unit	lb
row-create	Sets	load_kind	absolute
row-create	Sets	Reps	5
row-create	Sets	attempt	0
row-create	Sets	write_key	b5b9143e5e05f471
row-create	Sets	source_message_id	msg-10
